place_id,display_name,wiki_title,year,month,views,source
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,10,18,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,11,7,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2024,12,12,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,1,19,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,2,8,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,3,13,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,4,3,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,5,4,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,6,10,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,7,12,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,8,19,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,9,11,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,10,9,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,11,12,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2025,12,4,Wikimedia Pageviews API monthly per-article
lk_ampara_muhudu_maha_viharaya,Muhudu Maha Viharaya,Muhudu_Maha_Viharaya,2026,1,0,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,1,156,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,2,101,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,3,116,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,4,119,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,5,90,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,6,77,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,7,113,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,8,123,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,9,109,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,10,77,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,11,74,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2024,12,89,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,1,104,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,2,79,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,3,177,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,4,119,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,5,94,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,6,84,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,7,102,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,8,106,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,9,114,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,10,110,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,11,98,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2025,12,75,Wikimedia Pageviews API monthly per-article
lk_ampara_lahugala_kitulana_national_park,Lahugala Kitulana National Park,Lahugala_Kitulana_National_Park,2026,1,5,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,1,152,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,2,99,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,3,137,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,4,132,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,5,126,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,6,113,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,7,137,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,8,157,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,9,142,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,10,81,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,11,91,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2024,12,118,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,1,137,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,2,85,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,3,112,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,4,121,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,5,111,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,6,85,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,7,119,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,8,151,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,9,102,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,10,108,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,11,70,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2025,12,89,Wikimedia Pageviews API monthly per-article
lk_ampara_magul_maha_viharaya,Magul Maha Viharaya,Magul_Maha_Viharaya,2026,1,2,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,1,343,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,2,291,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,3,198,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,4,215,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,5,172,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,6,206,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,7,211,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,8,199,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,9,202,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,10,272,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,11,167,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2024,12,242,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,1,309,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,2,203,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,3,248,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,4,228,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,5,175,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,6,167,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,7,253,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,8,298,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,9,244,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,10,201,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,11,164,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2025,12,141,Wikimedia Pageviews API monthly per-article
lk_ampara_panama_beach,Panama Beach,"Panama,_Sri_Lanka",2026,1,6,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,1,12798,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,2,10261,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,3,9848,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,4,8710,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,5,7648,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,6,6971,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,7,8194,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,8,8242,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,9,8575,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,10,8354,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,11,7979,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2024,12,7987,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,1,9630,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,2,8152,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,3,8561,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,4,8684,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,5,7718,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,6,6856,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,7,7473,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,8,7905,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,9,7389,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,10,7456,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,11,7208,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2025,12,6489,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_sacred_city_of_anuradhapura,Sacred City of Anuradhapura,Anuradhapura,2026,1,186,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_jaya_sri_maha_bodhi,Jaya Sri Maha Bodhi,Jaya_Sri_Maha_Bodhi,2024,1,6469,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_jaya_sri_maha_bodhi,Jaya Sri Maha Bodhi,Jaya_Sri_Maha_Bodhi,2024,2,6115,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_jaya_sri_maha_bodhi,Jaya Sri Maha Bodhi,Jaya_Sri_Maha_Bodhi,2024,3,6370,Wikimedia Pageviews API monthly per-article
lk_anuradhapura_jaya_sri_maha_bodhi,Jaya Sri Maha Bodhi,Jaya_Sri_Maha_Bodhi,2024,4,5455,Wikimedia Pageviews API monthly per-article
