place_id,display_name,wiki_title,status,monthly_rows
lk_jaffna_nallur_kandaswamy_kovil,Nallur Kandaswamy Kovil,Nallur_Kandaswamy_temple,ok,25
lk_jaffna_delft_island,Delft Island,Delft_Island,ok,25
lk_jaffna_jaffna_fort,Jaffna Fort,Jaffna_Fort,ok,25
lk_jaffna_keerimalai_naguleswaram_temple,Keerimalai Naguleswaram Temple,Naguleswaram_temple,ok,25
lk_jaffna_nagadeepa_purana_vihara,Nagadeepa Purana Vihara,Nagadeepa_Purana_Vihara,ok,25
lk_jaffna_casuarina_beach,Casuarina Beach,Casuarina_Beach,ok,25
lk_jaffna_dambakola_patuna,Dambakola Patuna,Dambakola_Patuna,ok,24
lk_jaffna_fort_hammenhiel,Fort Hammenhiel,Fort_Hammenhiel,ok,25
lk_jaffna_jaffna_public_library,Jaffna Public Library,Jaffna_Public_Library,ok,25
lk_jaffna_kadurugoda_vihara,Kadurugoda Vihara,Kandarodai,ok,25
lk_jaffna_keerimalai_springs,Keerimalai Springs,Keerimalai,ok,25
lk_jaffna_manalkadu_sand_dunes,Manalkadu Sand Dunes,Vadamarachchi_East,no_data,0
lk_jaffna_maviddapuram_kandaswamy_temple,Maviddapuram Kandaswamy Temple,Maviddapuram_Kandaswamy_Temple,ok,25
lk_jaffna_point_pedro,Point Pedro,Point_Pedro,ok,25
lk_jaffna_nilavarai_bottomless_well,Nilavarai Bottomless Well,Nilavarai,ok,25
lk_jaffna_point_pedro_lighthouse,Point Pedro Lighthouse,Point_Pedro_Lighthouse,ok,25
lk_kalutara_bentota_beach,Bentota Beach,Bentota,ok,25
lk_kalutara_bentota_river,Bentota River,Bentota_River,no_data,0
lk_kalutara_beruwala_beach,Beruwala Beach,Beruwala,ok,25
lk_kalutara_kalutara_bodhiya,Kalutara Bodhiya,Kalutara_Chaitya,ok,25
lk_kalutara_kande_viharaya,Kande Viharaya,Kande_Viharaya,ok,24
lk_kalutara_lunuganga,Lunuganga,Lunuganga,ok,25
lk_kalutara_barberyn_lighthouse,Barberyn Lighthouse,Beruwala_Lighthouse,no_data,0
lk_kalutara_brief_garden,Brief Garden,"Brief_Garden,_Sri_Lanka",no_data,0
lk_kalutara_fa_hien_caves,Fa Hien Caves,Fa_Hien_Cave,ok,25
lk_kalutara_ketchimalai_mosque,Ketchimalai Mosque,Kechimalai_Mosque,no_data,0
lk_kalutara_kosgoda_beach,Kosgoda Beach,Kosgoda,ok,25
lk_kalutara_moragalla_beach,Moragalla Beach,Moragalla,no_data,0
lk_kalutara_richmond_castle,Richmond Castle,"Richmond_Castle,_Kalutara",ok,25
lk_kandy_temple_of_the_sacred_tooth_relic,Temple of the Sacred Tooth Relic,Temple_of_the_Tooth,ok,25
lk_kandy_royal_botanic_gardens_peradeniya,"Royal Botanic Gardens, Peradeniya","Royal_Botanic_Gardens,_Peradeniya",ok,18
lk_kandy_ambuluwawa_tower,Ambuluwawa Tower,Ambuluwawa_Tower,no_data,0
lk_kandy_ceylon_tea_museum,Ceylon Tea Museum,Ceylon_Tea_Museum,ok,25
lk_kandy_degaldoruwa_raja_maha_vihara,Degaldoruwa Raja Maha Vihara,Degaldoruwa_Raja_Maha_Vihara,no_data,0
lk_kandy_embekka_devalaya,Embekka Devalaya,Embekka_Devalaya,ok,25
lk_kandy_gadaladeniya_temple,Gadaladeniya Temple,Gadaladeniya_Temple,no_data,0
lk_kandy_hantana_mountain_range,Hantana Mountain Range,Hanthana_Mountain_Range,ok,25
lk_kandy_kandy_lake,Kandy Lake,Kandy_Lake,ok,25
lk_kandy_lankatilaka_vihara,Lankatilaka Vihara,Lankatilaka_Vihara,ok,25
lk_kandy_national_museum_of_kandy,National Museum of Kandy,"National_Museum,_Kandy",no_data,0
lk_kandy_royal_palace_of_kandy,Royal Palace of Kandy,Royal_Palace_of_Kandy,ok,25
lk_kandy_udawattakele_forest_reserve,Udawattakele Forest Reserve,Udawattakele_Forest_Reserve,ok,25
lk_kandy_natha_devale,Natha Devale,Natha_Devale,no_data,0
lk_kandy_asgiriya_maha_vihara,Asgiriya Maha Vihara,Asgiriya_Maha_Vihara,no_data,0
lk_kandy_bahirawakanda_vihara_buddha_statue,Bahirawakanda Vihara Buddha Statue,Bahirawakanda_Vihara_Buddha_Statue,no_data,0
lk_kandy_international_buddhist_museum,International Buddhist Museum,International_Buddhist_Museum,ok,25
lk_kandy_kandy_garrison_cemetery,Kandy Garrison Cemetery,Kandy_Garrison_Cemetery,ok,21
lk_kandy_kandy_view_point,Kandy View Point,Kandy_View_Point,no_data,0
lk_kandy_ranawana_purana_rajamaha_viharaya,Ranawana Purana Rajamaha Viharaya,Ranawana_Purana_Rajamaha_Viharaya,no_data,0
lk_kandy_wales_park,Wales Park,"Wales_Park,_Kandy",ok,22
lk_kandy_ceylon_tea_museum_viewpoint,Ceylon Tea Museum Viewpoint,Ceylon_Tea_Museum,ok,25
lk_kandy_commonwealth_war_cemetery_kandy,"Commonwealth War Cemetery, Kandy",Kandy_War_Cemetery,ok,25
lk_kegalle_bathalegala_bible_rock,Bathalegala (Bible Rock),Bible_Rock_(Sri_Lanka),no_data,0
lk_kegalle_kitulgala,Kitulgala,Kitulgala,ok,25
lk_kegalle_pinnawala_elephant_orphanage,Pinnawala Elephant Orphanage,Pinnawala_Elephant_Orphanage,ok,25
lk_kegalle_alagalla_mountain_range,Alagalla Mountain Range,Alagalla_Mountain_Range,ok,25
lk_kegalle_asupini_ella,Asupini Ella,Asupini_Ella,ok,25
lk_kegalle_belilena_cave,Belilena Cave,Belilena,ok,25
lk_kegalle_pinnawala_elephant_bathing_point,Pinnawala Elephant Bathing Point,Pinnawala_Elephant_Orphanage,ok,25
lk_kegalle_pinnawala_open_zoo,Pinnawala Open Zoo,Pinnawala_Open_Zoo,ok,25
lk_kegalle_saradiel_village,Saradiel Village,Utuwankanda,no_data,0
lk_kilinochchi_elephant_pass,Elephant Pass,Elephant_Pass,no_data,0
lk_kilinochchi_iranamadu_tank,Iranamadu Tank,Iranamadu_Tank,ok,25
lk_kurunegala_arankele_monastery,Arankele Monastery,Arankele,no_data,0
lk_kurunegala_yapahuwa_rock_fortress,Yapahuwa Rock Fortress,Yapahuwa,ok,25
lk_kurunegala_athugala_rock,Athugala Rock,Athugala,no_data,0
lk_kurunegala_athugala_viharaya,Athugala Viharaya,Athugala,no_data,0
lk_kurunegala_dambadeniya_archaeological_site,Dambadeniya Archaeological Site,Dambadeniya,ok,25
lk_kurunegala_dambadeniya_kingdom,Dambadeniya Kingdom,Dambadeniya,ok,25
lk_kurunegala_haththikuchchi,Haththikuchchi,Haththikuchchi,ok,22
lk_kurunegala_panduwasnuwara,Panduwasnuwara,Panduwasnuwara,ok,25
lk_kurunegala_ridi_viharaya,Ridi Viharaya,Ridi_Viharaya,ok,25
lk_kurunegala_kurunegala_lake,Kurunegala Lake,Kurunegala,ok,25
lk_kurunegala_yapahuwa_museum,Yapahuwa Museum,Yapahuwa,ok,25
lk_mannar_shrine_of_our_lady_of_madhu,Shrine of Our Lady of Madhu,Shrine_of_Our_Lady_of_Madhu,ok,25
lk_mannar_thiruketheeswaram_temple,Thiruketheeswaram Temple,Thiruketheeswaram,ok,25
lk_mannar_adam_s_bridge_viewpoint,Adam's Bridge Viewpoint,Adam's_Bridge,ok,25
lk_mannar_mannar_fort,Mannar Fort,Mannar_Fort,ok,25
lk_mannar_mannar_island,Mannar Island,Mannar_Island,ok,25
lk_mannar_talaimannar_pier,Talaimannar Pier,Talaimannar,ok,25
lk_mannar_baobab_tree_mannar,"Baobab Tree, Mannar","Baobab_Tree,_Mannar",no_data,0
lk_mannar_doric_bungalow,Doric Bungalow,Doric_Bungalow,ok,25
lk_mannar_talaimannar_lighthouse,Talaimannar Lighthouse,Talaimannar,ok,25
lk_matale_sigiriya_rock_fortress,Sigiriya Rock Fortress,Sigiriya,ok,25
lk_matale_dambulla_cave_temple,Dambulla Cave Temple,Dambulla_cave_temple,ok,25
lk_matale_knuckles_mountain_range,Knuckles Mountain Range,Knuckles_Mountain_Range,ok,25
lk_matale_pidurangala_rock,Pidurangala Rock,Pidurangala,no_data,0
lk_matale_aluvihare_rock_temple,Aluvihare Rock Temple,Aluvihare_Rock_Temple,ok,25
lk_matale_nalanda_gedige,Nalanda Gedige,Nalanda_Gedige,ok,25
lk_matale_pitawala_pathana,Pitawala Pathana,Pitawala_Pathana,ok,25
lk_matale_riverston,Riverston,Riverston,no_data,0
lk_matale_sigiriya_museum,Sigiriya Museum,Sigiriya,ok,25
lk_matale_wasgamuwa_national_park,Wasgamuwa National Park,Wasgamuwa_National_Park,no_data,0
lk_matale_boulder_gardens_of_sigiriya,Boulder Gardens of Sigiriya,Sigiriya,ok,25
lk_matale_cobra_hood_cave,Cobra Hood Cave,Sigiriya,ok,25
lk_matale_golden_temple_of_dambulla,Golden Temple of Dambulla,Dambulla_cave_temple,ok,25
lk_matale_ibbankatuwa_megalithic_tombs,Ibbankatuwa Megalithic Tombs,Ibbankatuwa_Megalithic_Tombs,ok,25
lk_matale_kaludiya_pokuna,Kaludiya Pokuna,Kaludiya_Pokuna,no_data,0
lk_matale_popham_s_arboretum,Popham's Arboretum,Popham's_Arboretum,no_data,0
lk_matale_rose_quartz_mountain,Rose Quartz Mountain,Jathika_Namala_Uyana,no_data,0
lk_matale_sembuwatta_lake,Sembuwatta Lake,Sembuwatta_Lake,ok,25
lk_matale_sera_ella_falls,Sera Ella Falls,Sera_Ella,ok,25
