review_status,duplicate_status,planner_eligible,district,name,categories,latitude,longitude,osm_quality_score,importance_score,tier,duplicate_of_name,duplicate_distance_km,rejection_reason,osm_type,osm_id,osm_url,osm_tags
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9752816,80.1778215,0,3,tier_3,,,missing_name,way,1025942125,https://www.openstreetmap.org/way/1025942125,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9625143,80.1915986,0,3,tier_3,,,missing_name,way,893350826,https://www.openstreetmap.org/way/893350826,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9618047,80.1918137,0,3,tier_3,,,missing_name,way,893350827,https://www.openstreetmap.org/way/893350827,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9606085,80.1900827,0,3,tier_3,,,missing_name,way,893350836,https://www.openstreetmap.org/way/893350836,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9687055,80.2069474,0,3,tier_3,,,missing_name,way,893695072,https://www.openstreetmap.org/way/893695072,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,cultural|historic,7.9684371,80.2056544,0,3,tier_3,,,missing_name,way,893695073,https://www.openstreetmap.org/way/893695073,"{""historic"": ""ruins""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9681305,80.2074239,0,3,tier_3,,,missing_name,way,1013672859,https://www.openstreetmap.org/way/1013672859,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9688784,80.2074897,0,3,tier_3,,,missing_name,way,1013672860,https://www.openstreetmap.org/way/1013672860,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9675015,80.2060159,0,3,tier_3,,,missing_name,way,1013672865,https://www.openstreetmap.org/way/1013672865,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.969166,80.2058553,0,3,tier_3,,,missing_name,way,1019253105,https://www.openstreetmap.org/way/1019253105,"{""leisure"": ""garden""}"
duplicate,duplicate_osm_candidate,False,Kurunegala,,family|nature,7.9711811,80.2069339,0,3,tier_3,,,missing_name,way,1019255977,https://www.openstreetmap.org/way/1019255977,"{""leisure"": ""garden""}"
